claim_id,project_id,precise_proposition,effect_family,mechanism,option_subtype,originator,recipient,intended_beneficiary_status,event_period,claim_direction,outcome_status,attribution_strength,value_status,boundary_recipient,boundary_org,boundary_sector,boundary_geography,boundary_chain,compensation,intent,timing,direction,beneficiaries,cost_bearers,access_barriers,evidence_sufficiency,source_quality,independence,coverage,time_lag,contrary_evidence,reviewer_confidence,commercial_reuse,fifth_sector_role,review_status,publication_status,notes,claim_type,method_ids,generating_intervention,fifth_sector_contribution,contracting_role,tie_change,option_state,option_holder,exercise_access,prediction,rival_explanations,disconfirming_evidence,observation_window,source_review_state,value_basis,value_review_status,permission_status,rights_status,consent_status,causal_assumptions,codebook_version,review_batch
C-R3-011,P03-MITIH,SNA identifies microbusinesses and SMEs as bridging organisations connecting nodes across the GM createch ecosystem,NETWORK,BROKERAGE,,The Fifth Sector,Salford City Council,INTENDED,2025-03,BENEFICIAL,REPORTED,CO_AUTHORED_ANALYSIS,NON_MONETARY,UNINTENDED,ACROSS_ORG,ACROSS_SECTOR,WITHIN_AREA,WITHIN_CHAIN,UNCOMPENSATED,RETROSPECTIVE,REALISED,BENEFICIAL,Microbusinesses; SMEs,,,Sufficient from SNA results,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER;DELIVERER;EVALUATOR,REVIEWED,INTERNAL_ONLY,SNA maps existing bridging characteristics; ties are PRE_EXISTING not created by intervention; Fifth Sector identified bridging role,METHOD_OUTPUT,M-R3-008,Social network analysis,SNA applied to map existing network structure,UNKNOWN,,PRE_EXISTING,,,,,2025-03,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,SNA maps existing structure; no causal claim,1.3-candidate,R3-BATCH-A,
C-R3-012,P03-MITIH,One microbusiness enabled a three-way immersive prototype between education wellness and animation without formal funding,NETWORK,COLLABORATION,,Microbusiness,Education; wellness; animation sectors,UNINTENDED,2025-03,BENEFICIAL,REPORTED,DESCRIPTIVE,NON_MONETARY,UNINTENDED,ACROSS_ORG,ACROSS_SECTOR,WITHIN_AREA,ACROSS_CHAIN,UNCOMPENSATED,EMERGENT,REALISED,BENEFICIAL,Education; wellness; animation,,,Single reported instance,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,LOW,INTERNAL_ONLY,DESIGNER;DELIVERER;EVALUATOR,REVIEWED,INTERNAL_ONLY,Single reported instance not systematic measurement; demonstrates bridging role in practice,EFFECT,M-R3-008,Social network analysis,Identified through SNA and reported in ecosystem report,UNKNOWN,,NEW,,,,,2025-03,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Single instance; no denominator or systematic measurement,1.3-candidate,R3-BATCH-A,
C-R3-013,P03-MITIH,Gated investment sequence proposed: demand validation then Phase 1 ecosystem strengthening then Phase 2 training expansion,OPTION,STAGE_LEARN,,The Fifth Sector,Salford City Council; GMCA; UKRI,INTENDED,UNKNOWN,BENEFICIAL,HYPOTHESIS,NOT_ASSESSED,NOT_APPLICABLE,INTENDED,ACROSS_ORG,ACROSS_SECTOR,WITHIN_AREA,WITHIN_CHAIN,UNCOMPENSATED,DESIGNED_IN,FORECAST,BENEFICIAL,Salford City Council; GMCA; UKRI,,,Proposed not implemented,primary,UNKNOWN,COMPLETE,CONTEMPORARY,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER,REVIEWED,INTERNAL_ONLY,Investment sequence is PROPOSED; commissioner holds option; gating conditions not met; demand validation not conducted,DESIGN,M-R3-009,Investment sequence design,Designed gated investment sequence,UNKNOWN,,PROPOSED,COMMISSIONER,UNKNOWN,Proceed if validation confirms favourable conditions,Unfavourable market validation,No demand validation conducted,UNKNOWN,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Proposed sequence requires market validation before proceeding,1.3-candidate,R3-BATCH-A
C-R3-014,P04-GBSLEP,GBSLEP creative economy mapped: scale profile jobs skills and GVA documented,CONTEXTUAL,,,BOP Consulting / Iain Bennett,GBSLEP,INTENDED,2017-12,BENEFICIAL,REPORTED,CO_AUTHORED_ANALYSIS,MONETARY,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,GBSLEP,,,Sufficient from mapping report,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,ADVISOR;INTERPRETER,REVIEWED,INTERNAL_ONLY,Mapping report with 54 tables; BOP prime Bennett associate; GVA and scale documented; QA FIX 2026-09-11: Reclassified METHOD_OUTPUT→CONTEXT; GBSLEP creative economy mapped — sector baseline; codebook: sector baseline not method output; /wishful+ /deepthink flag,CONTEXT,M-R3-010,Creative economy mapping commission,Co-authored mapping analysis,SUBCONTRACTOR,,,,,,,2017-12,REVIEWED,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,BOP prime; Bennett co-authored analysis,1.3-candidate,R3-BATCH-B,
C-R3-015,P04-GBSLEP,Creative economy GVA and employment measured for Greater Birmingham and Solihull,CONTEXTUAL,,,BOP Consulting / Iain Bennett,GBSLEP,INTENDED,2017-12,BENEFICIAL,REPORTED,CO_AUTHORED_ANALYSIS,MONETARY,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,GBSLEP,,,Sufficient from GVA analysis,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,ADVISOR;INTERPRETER,REVIEWED,INTERNAL_ONLY,GVA and employment figures from mapping; baseline measurement not intervention effect; QA FIX 2026-09-11: Reclassified METHOD_OUTPUT→CONTEXT; GBSLEP GVA and employment — sector baseline; codebook: sector baseline not method output; /wishful+ /deepthink flag,CONTEXT,M-R3-010,Creative economy mapping commission,Co-authored GVA analysis,SUBCONTRACTOR,,,,,,,2017-12,REVIEWED,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,BOP prime; Bennett co-authored,1.3-candidate,R3-BATCH-B,
C-R3-016,P04-GBSLEP,Cluster analysis identifies creative industry clusters and competitive position of GBSLEP,DIRECT,,,BOP Consulting / Iain Bennett,GBSLEP,INTENDED,2017-12,BENEFICIAL,REPORTED,CO_AUTHORED_ANALYSIS,NON_MONETARY,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,GBSLEP,,,Sufficient from cluster analysis,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,ADVISOR;INTERPRETER,REVIEWED,INTERNAL_ONLY,Cluster analysis and competitive position documented; contextual finding,METHOD_OUTPUT,M-R3-010,Creative economy mapping commission,Co-authored cluster analysis,SUBCONTRACTOR,,,,,,,2017-12,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,BOP prime; Bennett co-authored,1.3-candidate,R3-BATCH-B,
C-R3-017,P04-GBSLEP,Intermediaries and knowledge transfer mechanisms mapped in GBSLEP creative ecosystem,KNOWLEDGE,DEMONSTRATION,,BOP Consulting / Iain Bennett,GBSLEP,INTENDED,2017-12,BENEFICIAL,REPORTED,CO_AUTHORED_ANALYSIS,NON_MONETARY,INTENDED,ACROSS_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,UNKNOWN,RETROSPECTIVE,REALISED,BENEFICIAL,Intermediaries; creative organisations,,,Sufficient from intermediary analysis,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,ADVISOR;INTERPRETER,REVIEWED,INTERNAL_ONLY,Intermediaries and knowledge transfer patterns mapped; R2-D05 tested this; patterns are pre-existing not created by intervention,METHOD_OUTPUT,M-R3-011,Creative economy mapping commission,Co-authored intermediary analysis,SUBCONTRACTOR,,PRE_EXISTING,,,,,2017-12,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Mapping documents existing patterns not creates them,1.3-candidate,R3-BATCH-B,
C-R3-018,P05-WMCA,WMCA creative businesses mapped using Common Application Gateway criteria and scale-up scoring,DIRECT,,,BOP Consulting / Iain Bennett,WMCA,INTENDED,2020-01,BENEFICIAL,REPORTED,DESCRIPTIVE,MONETARY,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,WMCA,,,Sufficient from mapping report,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,ADVISOR;INTERPRETER,REVIEWED,INTERNAL_ONLY,Jan 9 2020 PDF is canonical final report; BOP prime Fifth Sector subcontractor; scale-up scores and business counts reported,METHOD_OUTPUT,M-R3-012,Creative business scaleup mapping commission,Co-authored mapping analysis,SUBCONTRACTOR,,,,,,,2020-01,REVIEWED,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,BOP prime; Fifth Sector subcontractor,1.3-candidate,R3-BATCH-B,
C-R3-019,P05-WMCA,Creative supply chain groupings identified for West Midlands creative businesses,DIRECT,,,BOP Consulting / Iain Bennett,WMCA,INTENDED,2020-01,BENEFICIAL,REPORTED,DESCRIPTIVE,NON_MONETARY,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,WMCA,,,Sufficient from supply chain analysis,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,ADVISOR;INTERPRETER,REVIEWED,INTERNAL_ONLY,Supply chain groupings documented; contextual finding,METHOD_OUTPUT,M-R3-012,Creative business scaleup mapping commission,Co-authored supply chain analysis,SUBCONTRACTOR,,,,,,,2020-01,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,BOP prime; Fifth Sector subcontractor,1.3-candidate,R3-BATCH-B,
C-R3-020,P06-COSTAR,CoSTAR Case for Support delivered proposing virtual production capabilities for national consortium,DIRECT,,,The Fifth Sector,CoSTAR consortium,INTENDED,2023-02,BENEFICIAL,REPORTED,DESCRIPTIVE,NOT_APPLICABLE,INTENDED,ACROSS_ORG,ACROSS_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,CoSTAR consortium,,,Sufficient from case for support document,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER;ADVISOR,REVIEWED,INTERNAL_ONLY,Bid-support commission delivered; Case for Support signed Feb 2023; R2-D07 tested this; BID_SUPPORT_DELIVERED claim_type,BID_SUPPORT_DELIVERED,M-R3-013,Bid-support commission,Bid-support work delivered,UNKNOWN,,,,,,,2023-02,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Bid-support delivered; programme not funded,1.3-candidate,R3-BATCH-B,
C-R3-021,P06-COSTAR,CoSTAR consortium bid for national research infrastructure was NOT successful,NOT_APPLICABLE,,,CoSTAR consortium,UKRI,INTENDED,2023,BENEFICIAL,REPORTED,NOT_ASSESSED,NOT_APPLICABLE,INTENDED,ACROSS_ORG,ACROSS_SECTOR,WITHIN_AREA,WITHIN_CHAIN,UNKNOWN,DESIGNED_IN,EXPIRED,ADVERSE,CoSTAR consortium,,,Confirmed by Iain 2026-09-09,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,HIGH,INTERNAL_ONLY,DESIGNER;ADVISOR,REVIEWED,INTERNAL_ONLY,Bid NOT successful confirmed by Iain; programme did not proceed; Oct 2025 consortium plan is different/revived,DESIGN,M-R3-013,Bid-support commission,Bid submitted but not funded,UNKNOWN,,,,,,,2023,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Bid outcome confirmed by Iain,1.3-candidate,R3-BATCH-B,
C-R3-022,P07-CC,Creative City+ SIPF application proposed digital/creative initiative for Greater Manchester,DIRECT,,,The Fifth Sector,SIPF programme,INTENDED,2020-09,BENEFICIAL,HYPOTHESIS,NOT_ASSESSED,NOT_APPLICABLE,INTENDED,ACROSS_ORG,ACROSS_SECTOR,WITHIN_AREA,WITHIN_CHAIN,UNKNOWN,DESIGNED_IN,EXPIRED,ADVERSE,GM creative sector,,,Inception note only; application NOT successful,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER,REVIEWED,INTERNAL_ONLY,SIPF application NOT successful confirmed by Iain 2026-09-09; project did not proceed beyond inception; inception note is the only deliverable,DESIGN,M-R3-014,SIPF application,Designed initiative proposal,UNKNOWN,,PROPOSED,SIPF_PROGRAMME,UNKNOWN,Initiative would create digital/creative spillovers,Application not funded,No implementation data,2020-09,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Proposed initiative requires funding to proceed,1.3-candidate,R3-BATCH-C
C-R3-023,P08-LIVDCI,LCR digital and creative industries cluster mapped with supply chain and skills analysis,DIRECT,,,The Fifth Sector,Liverpool City Region,INTENDED,2024-07,BENEFICIAL,REPORTED,DESCRIPTIVE,MONETARY,INTENDED,WITHIN_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,COMPENSATED,DESIGNED_IN,REALISED,BENEFICIAL,Liverpool City Region,,,Sufficient from final report 27 tables,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER;DELIVERER,REVIEWED,INTERNAL_ONLY,Final report accepted by client; 844 paras 27 tables 85 pages; cluster mapping delivered,METHOD_OUTPUT,M-R3-015,Cluster mapping commission,Cluster mapping delivered,UNKNOWN,,,,,,,2024-07,REVIEWED,DESCRIPTIVE_ESTIMATE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Cluster mapping from company and supply chain data,1.3-candidate,R3-BATCH-C,
C-R3-024,P08-LIVDCI,LCR digital and creative supply chain relationships documented,KNOWLEDGE,DEMONSTRATION,,The Fifth Sector,Liverpool City Region,INTENDED,2024-07,BENEFICIAL,REPORTED,DESCRIPTIVE,NON_MONETARY,INTENDED,ACROSS_ORG,WITHIN_SECTOR,WITHIN_AREA,WITHIN_CHAIN,UNKNOWN,DESIGNED_IN,REALISED,BENEFICIAL,LCR digital and creative businesses,,,Sufficient from supply chain analysis,primary,UNKNOWN,COMPLETE,SHORT_LAG,NONE_FOUND_IN_REVIEW,MEDIUM,INTERNAL_ONLY,DESIGNER;DELIVERER,REVIEWED,INTERNAL_ONLY,Supply chain relationships documented; contextual finding; patterns are pre-existing not created by intervention,METHOD_OUTPUT,M-R3-015,Cluster mapping commission,Supply chain analysis delivered,UNKNOWN,,PRE_EXISTING,,,,,2024-07,REVIEWED,NONE,NOT_REVIEWED,NOT_REQUESTED,UNKNOWN,UNKNOWN,Mapping documents existing supply chain relationships,1.3-candidate,R3-BATCH-C,
